Molecule ChEMBL ID,SMILES,class,pIC50,Mw,logP,HBd,HBa,Max_ring_size,ro5_ok,ro5_count
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,active,10.096910013008056,329.14272171999994,3.326500000000002,1,4,6,True,4
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,active,10.05551732784983,314.154976416,4.528400000000004,0,2,7,True,4
CHEMBL83617,NC(=O)c1ccc2c(c1)CCOC2CCN1CC=C(c2c[nH]c3cc(F)ccc23)CC1,active,9.958607314841775,419.200905292,4.199100000000003,3,5,6,True,4
CHEMBL552167,CN(C)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,active,9.886056647693163,267.173547672,3.484880000000002,1,3,6,True,4
CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,active,9.85078088734462,305.073804904,5.179600000000004,1,1,6,False,3
CHEMBL173344,C=C(C)c1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,active,9.795880017344075,283.19361442,3.922900000000003,1,2,6,True,4
CHEMBL1275709,CN(C)[C@@H]1CC[C@H](c2c[nH]c3ccc(C#N)cc23)C1,active,9.657577319177793,253.15789760799998,3.237280000000001,1,3,6,True,4
CHEMBL471029,CCCCN(Cc1ccc2ccccc2c1)[C@H]1CCNC1,active,9.522878745280337,282.209598832,3.8038000000000025,1,2,6,True,4
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,active,9.500038134403809,297.11873522800005,4.630900000000003,1,2,6,True,4
CHEMBL367408,C=Cc1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,active,9.494850021680094,269.177964356,3.5328000000000017,1,2,6,True,4
CHEMBL390432,CN(C)C1CC=C(c2c[nH]c3ccc(C#N)cc23)CC1,active,9.468521082957745,265.157897608,3.5370800000000022,1,3,6,True,4
CHEMBL443922,CN(C)Cc1ccccc1Oc1ccc(Cl)c(Cl)c1,active,9.455931955649724,295.05306946,4.847300000000003,0,2,6,True,4
CHEMBL196468,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2ccc(C#N)cc12,active,9.443697499232712,239.14224754399999,2.7046800000000006,1,3,6,True,4
CHEMBL353333,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,active,9.443697499232712,371.038226816,2.6883,1,3,6,True,4
CHEMBL1275730,CN(C)[C@H]1CC[C@@H](c2c[nH]c3ccc(C#N)cc23)C1,active,9.42021640338319,253.15789760799998,3.237280000000001,1,3,6,True,4
CHEMBL439849,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,active,9.397940008672037,441.216475104,4.029580000000003,3,7,6,True,4
CHEMBL234706,CN(C)[C@H]1CC=C(c2c[nH]c3ccc(C#N)cc23)CC1,active,9.397940008672037,265.157897608,3.5370800000000022,1,3,6,True,4
CHEMBL609908,CN1CCc2ccccc2C1CCc1c[nH]c2ccc(C#N)cc12,active,9.3767507096021,315.17354767200004,4.201380000000003,1,3,6,True,4
CHEMBL1276165,CN(C)C1CCC(c2c[nH]c3ccc(C#N)cc23)C1,active,9.318758762624412,253.15789760799998,3.237280000000001,1,3,6,True,4
CHEMBL2338047,Fc1cc(Cl)cc(Cl)c1O[C@@H](c1ccccc1)[C@H]1CCNC1,active,9.299988937677888,339.05929771200005,4.862100000000003,1,2,6,True,4
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,active,9.292429823902063,309.134048856,4.435000000000003,1,2,6,True,4
CHEMBL234705,CN(C)[C@@H]1CC=C(c2c[nH]c3ccc(C#N)cc23)CC1,active,9.2518119729938,265.157897608,3.5370800000000022,1,3,6,True,4
CHEMBL1275791,CN(C)[C@H]1CC[C@@H](c2c[nH]c3ccc(F)cc23)C1,active,9.200659450546418,246.153226828,3.5047000000000015,1,2,6,True,4
CHEMBL2338037,COc1cc(Cl)ccc1O[C@H](c1ccccc1)[C@@H]1CCNC1,active,9.199970640755865,317.11825656,4.0782000000000025,1,3,6,True,4
CHEMBL2337599,N#Cc1cccc(O[C@H](c2ccccc2)[C@@H]2CCNC2)c1,active,9.199970640755865,278.14191319599996,3.2878800000000012,1,3,6,True,4
CHEMBL1852501,Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C,active,9.193820026016112,461.27907536000004,3.018880000000001,2,7,6,True,4
CHEMBL4228747,Cc1cc2cc(OC3C[C@H]4CC[C@@H](C3)N4)ccc2oc1=O,active,9.142667503568731,285.136493468,2.7632200000000005,1,4,6,True,4
CHEMBL1852507,Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4F)c3C)CC2)c1C,active,9.1249387366083,479.269653548,3.157980000000001,2,7,6,True,4
CHEMBL2337608,Clc1cc(Cl)cc(O[C@H](c2ccccc2)[C@@H]2CCNC2)c1,active,9.100015437450608,321.0687195240001,4.723000000000004,1,2,6,True,4
CHEMBL2337603,Clc1cccc(O[C@H](c2ccccc2)[C@@H]2CCNC2)c1Cl,active,9.100015437450608,321.068719524,4.723000000000003,1,2,6,True,4
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,active,9.05551732784983,280.193948768,3.8750000000000027,0,2,7,True,4
CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,active,9.044793462458058,324.16379151200005,3.812980000000003,0,3,6,True,4
CHEMBL1275729,CN(C)[C@H]1CC[C@H](c2c[nH]c3ccc(C#N)cc23)C1,active,9.013228265733755,253.15789760799998,3.237280000000001,1,3,6,True,4
CHEMBL2338049,Fc1ccc(F)c(O[C@H](c2ccccc2)[C@@H]2CCNC2)c1Cl,active,9.0,323.088848252,4.347800000000003,1,2,6,True,4
CHEMBL2338039,Cc1cc(Cl)ccc1O[C@@H](c1ccccc1)[C@H]1CCNC1,active,9.0,301.12334194,4.378020000000004,1,2,6,True,4
CHEMBL1683899,CN(C)CC1(c2cccc3ccccc23)CCCCC1,active,9.0,267.1986998,4.603300000000004,0,1,6,True,4
CHEMBL1684055,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,active,9.0,281.214349864,4.991800000000005,0,1,6,True,4
CHEMBL50858,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)c(C)c1)N2C,active,9.0,307.133906624,3.3877200000000016,0,3,6,True,4
CHEMBL396537,CN(C)C1CC=C(c2c[nH]c3ccc([N+](=O)[O-])cc23)CC1,active,9.0,285.147726848,3.5736000000000026,1,5,6,True,4
CHEMBL422931,FC(F)(F)c1cc(COCC2(c3ccccc3)CCNCC2)cc(C(F)(F)F)c1,active,9.0,417.152733612,5.562200000000003,1,2,6,False,3
CHEMBL567288,CCC(=O)N(Cc1ccc2ccccc2c1)C1CCNCC1,active,9.0,296.18886338799996,3.330400000000001,1,3,6,True,4
CHEMBL1642912,NCC[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,9.0,319.089454968,5.036500000000004,2,1,6,False,3
CHEMBL206697,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,active,9.0,335.08436958799996,4.671900000000004,2,2,6,True,4
CHEMBL450714,CSc1ccc(Oc2ccccc2CN(C)C)cc1,active,9.0,273.118735228,4.262400000000004,0,2,6,True,4
CHEMBL383706,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,active,9.0,384.04660417599996,3.8270000000000017,3,4,6,True,4
CHEMBL1812745,COC(=O)[C@H]1[C@@H](c2ccc(Cl)c(C)c2)C[C@@H]2CC[C@H]1N2C,active,9.0,307.133906624,3.3877200000000025,0,3,6,True,4
CHEMBL597000,Cc1csc(C[C@H]2[C@@H]3CNC[C@@]32c2ccc(Cl)c(Cl)c2)n1,active,9.0,338.041124872,4.088020000000004,1,2,6,True,4
CHEMBL1642904,NC[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,active,9.0,305.073804904,4.646400000000003,2,1,6,True,4
CHEMBL2364614,CN1Cc2cc(-c3ccc(N)nn3)ccc2[C@H](c2ccc3ccccc3c2)C1,active,8.958607314841775,366.184446704,4.456300000000003,2,4,6,True,4
CHEMBL1162965,CN(C)CC1CC1c1c[nH]c2ccc(C#N)cc12,active,8.958607314841775,239.14224754399999,2.7046800000000006,1,3,6,True,4
CHEMBL539470,CN(C)C[C@H]1CCC[C@H]1c1c[nH]c2ccc(C#N)cc12,active,8.958607314841775,267.173547672,3.484880000000002,1,3,6,True,4
CHEMBL3673140,FC(F)Oc1ccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)CC2)nn1,active,8.958607314841775,427.12629638000004,5.293900000000005,0,4,7,False,3
CHEMBL435341,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,active,8.939302159646388,299.18852904000005,3.4590000000000023,0,3,6,True,4
CHEMBL539656,CN(C)C[C@@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,active,8.920818753952375,267.173547672,3.484880000000002,1,3,6,True,4
